trustChurch_postTreat,responsiveness_postTreat,memberDuration,Concordant,attendanceBin,Country,futureVolunteer_postTreat,futureAttendance_postTreat,petitionInterest_postTreat,shouldAdvocate,rank_Conflict_position,age,gender,rank_SocioPolitic_position,rank_HumanRight_position,policyPref_econOverEnviron_position,policyPref_redistribute_position,policyPref_humanRights_position,policyPref_schoolPrayer_position,policyPref_military_position,responsiveness_preTreat,validityCheck,textViewed
8,8,16 years or more,1,Weekly,Brazil,10,10,10,10,3,25-34,Female,1,4,1,7,10,1,7,10,Papa diz que é direito ter liberdade religiosa,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
8,7,16 years or more,1,Weekly,Brazil,7,8,8,9,2,45-54,Female,3,4,3,8,10,10,6,9,Todos devem ter direitos de expressao,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
10,10,16 years or more,0,Weekly,Brazil,10,10,10,10,3,18-24,Male,2,4,1,9,10,8,3,10,Papa reúne-se com outros líderes religiosos em sinagoga e afirma: juntos devemos lutar contra a guerra e a violência. ,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
2,3,0 to 5 years,0,Monthly,Brazil,5,1,10,2,2,25-34,Male,4,3,1,10,10,2,1,10,"papa diz que a economia gera desperdicio, papa diz que empresário devem lutar contra o desperdicio, o capitalismo selvagem gera a desigualdade e pobre","Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
8,9,0 to 5 years,1,Weekly,Brazil,1,10,1,6,4,25-34,Male,3,2,3,5,10,1,5,9,Vamos nos reuni.,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
10,8,16 years or more,0,Monthly,Brazil,7,9,7,8,4,18-24,Female,3,1,4,6,10,8,6,7,Papa,"Em Roma, Papa completa 80 anos e fala aos Cardeais durante missa.
                        Se você é tentado a fofocar, 'morda sua língua', diz Papa.
                        Ame Deus hoje, porque você pode não ter o amanhã, diz Papa"
5,4,6 to 10 years,1,Never/yearly,Brazil,4,6,8,6,1,18-24,Male,2,4,3,5,6,5,6,5,Diplocia do Vaticano favorecer os direitos humanos na África,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
8,6,16 years or more,1,Monthly,Brazil,4,7,9,7,4,25-34,Male,2,1,4,7,6,7,6,8,"Papa encontra colombianos, e pede fim das guerras ","Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
8,8,11 to 15 years,1,Weekly,Brazil,8,10,9,8,2,25-34,Male,1,4,4,10,8,1,2,9,"Papa é taxativo, liberdade religiosa e uma conquista defende a. Diplomacia do vaticano passa a centra na africa pelo direitos humanos.","Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
9,8,11 to 15 years,0,Weekly,Brazil,9,10,7,8,4,25-34,Female,2,3,3,8,8,8,7,8,Diplomacia do Vaticano volta a ficar nos direitos humanos da África,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
8,6,16 years or more,1,Never/yearly,Brazil,7,7,7,8,2,35-44,Male,3,1,5,9,5,2,3,9,O economia deve ser redistribuída dos mais ricos para os mais pobres. Novas políticas das empresas para melhor distribuição de renda.  ,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
10,8,0 to 5 years,1,Weekly,Brazil,9,9,10,9,4,25-34,Female,2,1,1,10,9,9,2,10,Papa súplica contra a guerra .Papa encontra com colombianos uma dia antes do acordo de paz,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
5,4,16 years or more,1,Never/yearly,Brazil,3,3,10,1,2,25-34,Male,3,1,5,7,4,5,2,1,Papa pede para que empresarios criem novos modelos econômicos,"Papa diz que a economia deve lutar contra a 'cultura do desperdício'.
                        Papa pede a líderes empresariais que gerem novos modelos de progresso economico.
                        'Economia da exclusão e desigualdade causaram o crescimento da pobreza', diz Papa"
8,9,16 years or more,1,Monthly,Brazil,6,6,7,10,1,45-54,Female,3,4,3,10,7,5,5,10,Concordo,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
8,8,16 years or more,0,Never/yearly,Brazil,7,7,9,7,4,25-34,Female,1,2,2,5,5,5,4,8,Defesa dos direitos humanos ,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
9,9,16 years or more,1,Weekly,Brazil,7,9,9,9,2,25-34,Female,4,3,2,9,9,10,5,9,Brincar é importante para as crianças,"Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
8,8,16 years or more,1,Never/yearly,Brazil,7,6,6,8,4,35-44,Male,1,3,4,4,8,4,7,8,Papa pede fim da violencia,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
8,7,16 years or more,1,Monthly,Brazil,4,3,7,10,3,45-54,Female,4,1,1,10,10,1,1,10,O papa defende o direito das crianças e imigrantes,"Educação e recreação são fundamentais para infância,  Papa diz a jovens cubanos e americanos.
                               Santa Sé apoia objetivos globais para saúde e afirma 'não devemos deixar ninguém para trás'.
                               Papa pede: dê compaixão aos imigrantes, não culpa"
10,8,16 years or more,0,Weekly,Brazil,8,8,10,3,4,45-54,Female,2,3,1,3,10,10,1,8,"Se você for tentado a fofocar, morda a língua ","Em Roma, Papa completa 80 anos e fala aos Cardeais durante missa.
                        Se você é tentado a fofocar, 'morda sua língua', diz Papa.
                        Ame Deus hoje, porque você pode não ter o amanhã, diz Papa"
10,10,6 to 10 years,1,Weekly,Brazil,10,10,9,9,2,25-34,Female,3,4,9,9,9,9,9,9,papa,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
10,8,16 years or more,1,Never/yearly,Brazil,5,5,10,10,4,25-34,Other,2,3,1,10,10,1,1,10,Papa se reuni para pedir fim da violencia,"Papa suplica para o fim da 'loucura homicida' do terrorismo.
                         Papa encontra com líderes colombianos às vésperas do acordo de paz.
                         Na sinagoga romana, Papa pede: vamos nos unir contra a guerra e a violência"
10,10,16 years or more,1,Monthly,Brazil,8,9,6,10,3,25-34,Female,1,4,8,10,10,10,6,10,Diplomacia do vaticano passa a focar nos direitos humanos na africa,"Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
10,10,16 years or more,1,Weekly,Brazil,9,10,10,10,2,45-54,Female,1,4,3,9,10,10,3,10,"Direitos humanos, democracia ","Diplomacia do Vaticano passa a focar nos direitos humanos na Africa.
                            Papa é taxativo: liberdade religiosa é um presente de Deus. Defenda-a.
                            Papa diz que a promoção dos direitos humanos é central para o empenho da União Europeia"
